Time, tau_r1, tau_r2, tau_r3, tau_r4, tau_r5, tau_r6, tau_n1, tau_n2, tau_n3, tau_n4, tau_n5, tau_n6,
10.586, 9.47077, 8.71311, 25.3525, -6.37973, 6.4316, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.686, 10.039, 5.49305, 26.0982, -6.48346, 6.89841, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.786, 10.6073, 8.33428, 25.3525, -6.37973, 6.53533, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.886, 10.7967, 11.9332, 25.4457, -6.4316, 7.15774, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
10.986, 10.9861, 11.7438, 25.1661, -6.27599, 6.63907, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.086, 11.3649, 10.039, 25.1661, -6.01665, 7.10588, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.186, 11.5543, 14.3956, 23.1155, -6.17226, 6.53533, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.286, 11.7438, 16.6686, 25.6321, -6.32786, 7.46895, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.386, 11.7438, 17.4262, 24.3272, -6.37973, 7.26148, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.486, 11.5543, 19.131, 24.8865, -6.22413, 6.48346, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.586, 11.3649, 17.9945, 24.8865, -6.48346, 6.53533, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.686, 11.3649, 15.7215, 24.7001, -6.06852, 7.00214, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.786, 11.1755, 18.5627, 24.7001, -6.17226, 6.69093, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.886, 10.7967, 21.0251, 24.7933, -6.17226, 6.01665, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
11.986, 10.9861, 22.5404, 24.234, -6.17226, 6.22413, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.086, 10.7967, 23.6769, 24.6069, -6.32786, 5.96479, 1.08922, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.186, 10.6073, 27.2758, 23.768, -6.22413, 6.37973, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.286, 10.2284, 27.4652, 24.3272, -6.22413, 6.37973, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.386, 10.6073, 28.2229, 24.3272, -6.32786, 6.12039, 1.03735, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.486, 10.4178, 29.17, 24.0476, -6.27599, 6.4316, 1.14109, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.586, 10.2284, 30.3065, 23.3952, -6.22413, 6.32786, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.686, 10.2284, 30.1171, 23.3952, -6.27599, 6.27599, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.786, 10.039, 29.17, 23.6748, -6.22413, 6.22413, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.886, 10.039, 30.4959, 23.1155, -6.27599, 5.91292, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
12.986, 10.039, 31.6324, 22.5563, -6.22413, 5.86105, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.086, 9.8496, 31.0641, 23.302, -6.27599, 5.86105, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.186, 9.8496, 32.5795, 22.4631, -6.27599, 5.75732, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.286, 9.8496, 32.5795, 22.5563, -6.27599, 5.70545, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.386, 9.8496, 32.9583, 22.6495, -6.22413, 5.80918, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.486, 9.8496, 32.5795, 23.2087, -6.27599, 5.75732, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.586, 9.47077, 33.1477, 22.7427, -6.32786, 5.70545, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.686, 9.66019, 34.0948, 22.1835, -6.27599, 5.80918, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.786, 9.8496, 34.663, 22.0903, -6.27599, 5.75732, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.886, 9.66019, 33.7159, 22.8359, -6.32786, 5.60171, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
13.986, 9.66019, 34.8524, 22.0903, -6.27599, 5.75732, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.086, 9.66019, 35.4207, 21.997, -6.32786, 5.75732, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.186, 9.66019, 34.8524, 22.3699, -6.32786, 5.60171, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.286, 9.47077, 35.7995, 22.2767, -6.27599, 5.65358, 1.34856, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.386, 11.3649, 28.6017, 19.0144, -5.44611, 7.41708, 0.933619, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.486, 9.28136, 32.2006, 18.2687, -6.84654, 7.05401, 1.24483, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.586, 5.68246, 60.6129, 27.8691, -7.31335, 2.48965, 1.19296, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.686, 2.08357, 74.2508, 28.8012, -7.20961, 1.24483, 1.29669, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.786, 1.51532, 76.3344, 27.8691, -5.75732, 1.08922, 0.363074, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.886, -0, 69.8943, 27.0303, -4.09755, 0.726148, -0.207471, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
14.986, -4.9248, 78.418, 29.3605, -4.92743, -0.622413, -0, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.086, -10.4178, 85.2369, 30.945, -6.27599, 0.518677, 0.570545, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.186, -13.8273, 85.4264, 33.7412, -6.53533, -0.726148, 0.155603, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.286, -16.858, 84.8581, 34.7665, -7.31335, -1.29669, 0.829883, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.386, -17.9945, 74.4403, 37.3763, -7.41708, -1.29669, 1.50416, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.486, -19.6992, 69.8943, 36.351, -7.57269, -0.103735, 2.02284, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.586, -19.6992, 61.56, 36.2578, -8.55817, -0.881751, 2.59339, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.686, -16.1003, 53.2257, 34.1141, -7.72829, -1.34856, 2.90459, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.786, -7.76603, 43.5655, 35.0461, -9.07685, -1.6079, 3.57887, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.886, 10.4178, 25.5711, 34.6733, -9.49179, -0.881751, 3.47514, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
15.986, 19.131, 20.6463, 35.6986, -7.83202, -1.7635, 3.00833, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.086, 22.9193, 15.3426, 37.656, -7.67642, -2.54152, 1.40043, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.186, 21.9722, 13.6379, 37.7492, -3.73448, -0.622413, -1.71163, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.286, 15.5321, 13.0697, 41.5707, -3.83821, -1.03735, -2.59339, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
16.386, 5.11422, 5.68246, 38.9609, -3.31953, -0.985486, -2.07471, -6.97903e-05, 20.5548, 20.5526, -6.06557, 0.00374173, 4.59643e-07, 
