Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n, xd, yd, zd, q0d, q1d, q2d, q3d
0.043, 0.298239, -0.172773, 0.336073, 0.0774629, 0.996652, 0.0260451, -0.00227161, 0.29836, -0.172695, 0.335841, 0.0780083, 0.996608, 0.0261394, -0.00198626, 0, 0, 0, 0.0780083, 0.996608, 0.0261394, -0.00198626, 
0.044, 0.298241, -0.172773, 0.336072, 0.0774625, 0.996652, 0.0260451, -0.00227089, 0.298362, -0.17269, 0.335833, 0.0780067, 0.996608, 0.0261461, -0.00198211, 0, 0, 0, 0.0780067, 0.996608, 0.0261461, -0.00198211, 
0.045, 0.298241, -0.172773, 0.336071, 0.0774618, 0.996653, 0.0260441, -0.00227291, 0.298364, -0.172684, 0.335825, 0.0780051, 0.996608, 0.0261527, -0.00197802, 0, 0, 0, 0.0780051, 0.996608, 0.0261527, -0.00197802, 
0.046, 0.29824, -0.172775, 0.336072, 0.0774621, 0.996653, 0.0260421, -0.00227383, 0.298366, -0.172679, 0.335818, 0.0780035, 0.996608, 0.0261593, -0.001974, 0, 0, 0, 0.0780035, 0.996608, 0.0261593, -0.001974, 
0.047, 0.298241, -0.172773, 0.336071, 0.0774618, 0.996653, 0.0260435, -0.00227415, 0.298367, -0.172673, 0.33581, 0.0780018, 0.996608, 0.0261659, -0.00197003, 0, 0, 0, 0.0780018, 0.996608, 0.0261659, -0.00197003, 
0.048, 0.298239, -0.172774, 0.336071, 0.0774617, 0.996653, 0.0260425, -0.002276, 0.298369, -0.172668, 0.335802, 0.0780002, 0.996608, 0.0261725, -0.00196612, 0, 0, 0, 0.0780002, 0.996608, 0.0261725, -0.00196612, 
0.049, 0.298239, -0.172775, 0.336071, 0.0774621, 0.996653, 0.0260415, -0.0022768, 0.29837, -0.172662, 0.335794, 0.0779985, 0.996608, 0.0261791, -0.00196227, 0, 0, 0, 0.0779985, 0.996608, 0.0261791, -0.00196227, 
0.05, 0.298239, -0.172776, 0.336071, 0.077462, 0.996653, 0.026041, -0.00227747, 0.298372, -0.172657, 0.335787, 0.0779969, 0.996608, 0.0261856, -0.00195849, 0, 0, 0, 0.0779969, 0.996608, 0.0261856, -0.00195849, 
0.051, 0.298239, -0.172776, 0.336071, 0.0774626, 0.996653, 0.026041, -0.0022775, 0.298373, -0.172652, 0.335779, 0.0779952, 0.996608, 0.0261921, -0.00195476, 0, 0, 0, 0.0779952, 0.996608, 0.0261921, -0.00195476, 
0.052, 0.298239, -0.172777, 0.336071, 0.0774617, 0.996653, 0.0260395, -0.0022778, 0.298375, -0.172646, 0.335771, 0.0779935, 0.996608, 0.0261986, -0.00195109, 0, 0, 0, 0.0779935, 0.996608, 0.0261986, -0.00195109, 
0.053, 0.298241, -0.172777, 0.336072, 0.0774616, 0.996653, 0.0260402, -0.00227472, 0.298376, -0.172641, 0.335764, 0.0779918, 0.996608, 0.026205, -0.00194748, 0, 0, 0, 0.0779918, 0.996608, 0.026205, -0.00194748, 
0.054, 0.298239, -0.172776, 0.336071, 0.0774616, 0.996653, 0.02604, -0.00227743, 0.298378, -0.172636, 0.335756, 0.0779901, 0.996608, 0.0262115, -0.00194392, 0, 0, 0, 0.0779901, 0.996608, 0.0262115, -0.00194392, 
0.055, 0.298238, -0.172776, 0.336071, 0.0774625, 0.996653, 0.02604, -0.00227885, 0.298379, -0.17263, 0.335749, 0.0779884, 0.996608, 0.0262179, -0.00194043, 0, 0, 0, 0.0779884, 0.996608, 0.0262179, -0.00194043, 
0.056, 0.29824, -0.172776, 0.336071, 0.0774615, 0.996653, 0.0260405, -0.00227664, 0.298381, -0.172625, 0.335742, 0.0779866, 0.996608, 0.0262243, -0.00193699, 0, 0, 0, 0.0779866, 0.996608, 0.0262243, -0.00193699, 
0.057, 0.298238, -0.172776, 0.336071, 0.0774621, 0.996653, 0.0260404, -0.00227897, 0.298382, -0.17262, 0.335734, 0.0779848, 0.996608, 0.0262306, -0.00193361, 0, 0, 0, 0.0779848, 0.996608, 0.0262306, -0.00193361, 
0.058, 0.298239, -0.172777, 0.336071, 0.0774625, 0.996653, 0.02604, -0.00227798, 0.298384, -0.172615, 0.335727, 0.0779831, 0.996608, 0.026237, -0.00193028, 0, 0, 0, 0.0779831, 0.996608, 0.026237, -0.00193028, 
0.059, 0.298239, -0.172776, 0.336071, 0.0774625, 0.996653, 0.0260405, -0.00227764, 0.298385, -0.172609, 0.335719, 0.0779813, 0.996607, 0.0262433, -0.00192701, 0, 0, 0, 0.0779813, 0.996607, 0.0262433, -0.00192701, 
0.06, 0.298239, -0.172777, 0.336072, 0.0774625, 0.996653, 0.02604, -0.00227711, 0.298386, -0.172604, 0.335712, 0.0779795, 0.996607, 0.0262496, -0.0019238, 0, 0, 0, 0.0779795, 0.996607, 0.0262496, -0.0019238, 
0.061, 0.298238, -0.172776, 0.336072, 0.0774615, 0.996653, 0.02604, -0.00227869, 0.298388, -0.172599, 0.335705, 0.0779777, 0.996607, 0.0262559, -0.00192064, 0, 0, 0, 0.0779777, 0.996607, 0.0262559, -0.00192064, 
0.062, 0.298239, -0.172776, 0.336072, 0.077462, 0.996653, 0.0260405, -0.00227673, 0.298389, -0.172594, 0.335698, 0.0779758, 0.996607, 0.0262621, -0.00191754, 0, 0, 0, 0.0779758, 0.996607, 0.0262621, -0.00191754, 
0.063, 0.298239, -0.172776, 0.336072, 0.0774624, 0.996653, 0.026041, -0.00227683, 0.29839, -0.172589, 0.335691, 0.077974, 0.996607, 0.0262683, -0.0019145, 0, 0, 0, 0.077974, 0.996607, 0.0262683, -0.0019145, 
0.064, 0.29824, -0.172776, 0.336072, 0.0774625, 0.996653, 0.0260406, -0.00227637, 0.298391, -0.172583, 0.335683, 0.0779721, 0.996607, 0.0262745, -0.00191151, 0, 0, 0, 0.0779721, 0.996607, 0.0262745, -0.00191151, 
0.065, 0.298241, -0.172775, 0.336072, 0.077462, 0.996653, 0.0260416, -0.00227544, 0.298393, -0.172578, 0.335676, 0.0779703, 0.996607, 0.0262807, -0.00190857, 0, 0, 0, 0.0779703, 0.996607, 0.0262807, -0.00190857, 
