Time, q_r1, q_r2, q_r3, q_r4, q_r5, q_r6, dq_r1, dq_r2, dq_r3, dq_r4, dq_r5, dq_r6, q_n1, q_n2, q_n3, q_n4, q_n5, q_n6, dq_n1, dq_n2, dq_n3, dq_n4, dq_n5, dq_n6
7.386, 0.00800348, 0.0178809, -1.93326, -0.00280122, -0.624818, 0.00545152, 0.00554642, -0.0554642, -0.124398, -0.00664472, 0.46608, 0.0113909, 0.00908572, 0.0157298, -1.93466, -0.00574485, -0.619323, 0.0121386, 0.00357974, -0.0559466, -0.125527, -0.00845117, 0.466706, 0.00982655, 
7.486, 0.00842501, 0.0121696, -1.94557, -0.00368592, -0.577898, 0.0066058, 0.00237704, -0.0610106, -0.122814, -0.0104417, 0.480318, 0.0104417, 0.00943146, 0.00978563, -1.947, -0.00663797, -0.572384, 0.013166, 0.00330945, -0.06286, -0.12137, -0.00936931, 0.472055, 0.0106238, 
7.586, 0.00881167, 0.00549095, -1.95763, -0.00481647, -0.530423, 0.00786735, 0.00396173, -0.0705187, -0.118059, -0.0113909, 0.480318, 0.0142387, 0.00974937, 0.00316729, -1.95888, -0.00763244, -0.524977, 0.0142749, 0.00303135, -0.0692505, -0.116522, -0.010495, 0.475884, 0.0114821, 
7.686, 0.00916031, -0.00189291, -1.96899, -0.00598974, -0.482642, 0.00921622, 0.00316938, -0.0768575, -0.117267, -0.0104417, 0.472724, 0.0132894, 0.0100324, -0.00412314, -1.97027, -0.00873274, -0.477203, 0.0154661, 0.00262389, -0.0762012, -0.111151, -0.0115235, 0.479178, 0.0122936, 
7.786, 0.00944951, -0.00977279, -1.97994, -0.00733292, -0.434606, 0.0106391, 0.00316938, -0.0784422, -0.106967, -0.0132894, 0.474623, 0.0142387, 0.0102714, -0.0120706, -1.98109, -0.00993559, -0.429175, 0.0167311, 0.00228993, -0.0827353, -0.105103, -0.0131756, 0.481285, 0.0136947, 
7.886, 0.0096785, -0.0182778, -1.99011, -0.00870268, -0.386371, 0.0121608, -0, -0.0927044, -0.0958738, -0.0123402, 0.480318, 0.0170864, 0.0104549, -0.0206643, -1.99131, -0.0112192, -0.381003, 0.0180429, 0.00151352, -0.0888737, -0.0992148, -0.013086, 0.482043, 0.0131768, 
7.986, 0.00984489, -0.0276552, -1.99972, -0.0101057, -0.33821, 0.0137119, -0, -0.0974585, -0.0919121, -0.0199342, 0.480318, 0.0132894, 0.0105704, -0.0298827, -2.00087, -0.01254, -0.332813, 0.0193496, 0.000775095, -0.0952297, -0.0919027, -0.0131656, 0.481459, 0.012739, 
8.086, 0.00994394, -0.0374629, -2.00873, -0.011484, -0.290027, 0.015112, -0, -0.0998355, -0.0863657, -0.0142387, 0.488861, 0.0123402, 0.0106048, -0.0396966, -2.00966, -0.0138097, -0.284772, 0.0205558, -0.000108993, -0.101034, -0.0838745, -0.0119295, 0.479159, 0.0110843, 
8.185, 0.00998276, -0.0478022, -2.01658, -0.0126534, -0.242438, 0.0161628, -0, -0.108551, -0.0768575, -0.0104417, 0.47842, 0.00949246, 0.0105466, -0.0500697, -2.01758, -0.0148632, -0.23707, 0.0214882, -0.00106838, -0.106455, -0.0744005, -0.00864712, 0.474623, 0.00721044, 
8.286, 0.0099891, -0.058842, -2.02357, -0.0133198, -0.19524, 0.0166887, -0, -0.111721, -0.0649723, -0, 0.467978, -0, 0.0103918, -0.0609677, -2.02447, -0.0154265, -0.18995, 0.0218701, -0.00200273, -0.111376, -0.0630714, -0.00194304, 0.467312, -0.000110927, 
8.386, 0.00998593, -0.0700703, -2.02936, -0.0133578, -0.149009, 0.016645, -0, -0.120437, -0.0499178, -0, 0.45279, -0, 0.010154, -0.0723325, -2.0301, -0.0150769, -0.143732, 0.0212834, -0.00267948, -0.115758, -0.0491325, 0.0098334, 0.456466, -0.0123746, 
